I II III aVR aVL aVF V1 V2 AO SPO2
-0.015 -0.061 -0.054 0.042 0.017 -0.054 0.024 74.600 73.800 2.891 
-0.015 -0.078 -0.061 0.046 0.024 -0.071 0.029 74.800 73.800 2.872 
-0.022 -0.044 -0.029 0.037 -0.000 -0.032 0.022 75.000 73.600 2.852 
-0.022 -0.017 0.002 0.022 -0.012 -0.005 0.010 75.000 73.600 2.823 
-0.037 -0.027 0.007 0.034 -0.022 -0.007 0.022 75.200 73.600 2.794 
-0.032 -0.027 0.005 0.029 -0.017 -0.010 0.017 75.600 73.800 2.764 
-0.042 -0.024 0.015 0.034 -0.029 -0.002 0.022 75.800 74.000 2.735 
-0.044 -0.027 0.012 0.039 -0.029 -0.005 0.022 76.200 74.200 2.686 
-0.039 -0.039 -0.007 0.044 -0.020 -0.020 0.027 76.600 74.400 2.637 
-0.037 -0.037 -0.007 0.042 -0.017 -0.017 0.022 77.200 74.800 2.589 
-0.039 -0.049 -0.015 0.046 -0.015 -0.029 0.029 77.600 75.200 2.540 
-0.039 -0.022 0.012 0.034 -0.027 -0.002 0.017 78.200 75.600 2.510 
-0.032 -0.010 0.022 0.022 -0.027 0.007 0.015 78.800 76.000 2.481 
-0.049 -0.010 0.034 0.032 -0.044 0.015 0.017 79.200 76.600 2.452 
-0.032 -0.010 0.020 0.022 -0.027 0.007 0.015 79.800 77.200 2.422 
-0.024 0.002 0.022 0.015 -0.024 0.015 0.005 80.000 77.800 2.398 
-0.024 0.027 0.044 0.002 -0.037 0.039 -0.000 80.400 78.400 2.374 
-0.020 0.059 0.076 -0.017 -0.049 0.068 -0.015 80.400 79.000 2.349 
-0.012 0.063 0.076 -0.024 -0.044 0.071 -0.017 80.600 79.800 2.325 
-0.007 0.049 0.051 -0.017 -0.032 0.054 -0.017 81.000 80.400 2.300 
-0.010 0.068 0.071 -0.024 -0.044 0.073 -0.020 81.200 81.200 2.276 
0.007 0.127 0.117 -0.066 -0.056 0.125 -0.046 81.400 81.800 2.252 
0.005 0.125 0.117 -0.063 -0.056 0.122 -0.044 81.800 82.400 2.227 
0.010 0.098 0.083 -0.051 -0.039 0.093 -0.039 82.000 83.000 2.203 
0.012 0.142 0.127 -0.076 -0.059 0.137 -0.051 82.400 83.600 2.178 
0.024 0.159 0.132 -0.090 -0.054 0.147 -0.063 82.800 84.200 2.154 
0.029 0.149 0.115 -0.085 -0.044 0.134 -0.059 83.200 84.800 2.129 
0.034 0.159 0.115 -0.090 -0.044 0.142 -0.066 83.600 85.400 2.105 
0.049 0.171 0.120 -0.107 -0.037 0.147 -0.073 84.000 85.800 2.081 
0.044 0.159 0.107 -0.098 -0.034 0.137 -0.071 84.400 86.400 2.056 
0.042 0.139 0.088 -0.085 -0.027 0.120 -0.061 84.800 86.800 2.032 
0.049 0.137 0.083 -0.090 -0.020 0.112 -0.063 85.000 87.200 2.002 
0.042 0.125 0.073 -0.078 -0.020 0.105 -0.056 85.400 87.800 1.973 
0.056 0.105 0.042 -0.076 0.005 0.078 -0.056 85.800 88.000 1.944 
0.046 0.059 0.010 -0.051 0.017 0.037 -0.034 86.200 88.400 1.915 
0.042 0.083 0.039 -0.061 -0.000 0.063 -0.044 86.400 88.600 1.885 
0.039 0.085 0.044 -0.061 -0.002 0.066 -0.042 86.800 89.000 1.856 
0.037 0.066 0.029 -0.051 0.005 0.049 -0.037 87.000 89.200 1.827 
0.032 0.071 0.032 -0.046 -0.002 0.056 -0.034 87.200 89.400 1.797 
0.022 0.071 0.044 -0.044 -0.012 0.061 -0.034 87.400 89.400 1.768 
0.027 0.054 0.022 -0.037 -0.000 0.042 -0.027 87.600 89.600 1.739 
0.017 0.029 0.002 -0.017 0.002 0.022 -0.017 87.800 89.600 1.709 
0.017 0.032 0.010 -0.022 0.002 0.024 -0.017 88.000 89.600 1.680 
0.020 0.034 0.007 -0.022 0.002 0.024 -0.020 87.800 89.600 1.651 
0.017 0.012 -0.010 -0.012 0.012 0.005 -0.010 87.800 89.600 1.621 
0.024 0.007 -0.020 -0.015 0.022 -0.005 -0.012 87.800 89.400 1.592 
0.024 0.024 -0.007 -0.020 0.012 0.012 -0.017 87.600 89.200 1.563 
0.015 -0.005 -0.024 -0.002 0.017 -0.012 -0.005 87.400 88.800 1.534 
0.012 -0.020 -0.034 0.005 0.022 -0.024 0.002 87.000 88.600 1.504 
0.012 0.029 0.017 -0.020 -0.002 0.024 -0.017 86.800 88.200 1.475 
0.005 0.015 -0.002 -0.002 -0.002 0.012 -0.007 86.400 87.800 1.446 
0.002 -0.015 -0.022 0.010 0.010 -0.015 0.002 86.000 87.200 1.421 
0.002 0.005 -0.005 -0.000 -0.000 0.005 -0.002 85.600 86.800 1.397 
-0.000 0.042 0.032 -0.015 -0.020 0.042 -0.017 85.000 86.200 1.372 
-0.002 0.020 0.015 -0.005 -0.012 0.022 -0.005 84.400 85.600 1.348 
-0.015 0.022 0.032 -0.000 -0.024 0.029 -0.005 83.800 85.000 1.319 
-0.015 0.024 0.034 -0.002 -0.027 0.032 -0.002 83.200 84.400 1.289 
-0.007 0.034 0.034 -0.010 -0.024 0.039 -0.012 83.000 84.000 1.260 
-0.007 0.010 0.007 0.005 -0.012 0.015 -0.000 82.600 83.400 1.231 
-0.007 0.007 0.007 0.005 -0.010 0.012 -0.002 82.400 83.000 1.206 
-0.007 0.010 0.010 0.002 -0.012 0.015 -0.000 82.400 82.400 1.182 
-0.007 0.002 0.007 0.005 -0.007 0.007 -0.000 82.400 82.000 1.158 
