I II III aVR aVL aVF V1 AO LV SPO2
0.085 0.061 -0.032 -0.068 0.056 0.020 -0.054 71.000 21.800 2.564 
0.088 0.164 0.061 -0.117 0.007 0.120 -0.093 70.800 22.000 2.549 
0.100 0.308 0.198 -0.198 -0.054 0.259 -0.171 70.600 22.000 2.535 
0.134 0.498 0.349 -0.308 -0.115 0.432 -0.283 70.400 22.200 2.520 
0.161 0.598 0.430 -0.376 -0.137 0.518 -0.379 70.200 22.200 2.501 
0.090 0.613 0.510 -0.344 -0.215 0.569 -0.408 70.000 22.000 2.481 
0.054 0.650 0.591 -0.349 -0.271 0.623 -0.432 69.800 22.000 2.462 
0.015 0.720 0.698 -0.364 -0.344 0.713 -0.457 69.600 21.800 2.442 
-0.010 0.750 0.745 -0.361 -0.383 0.755 -0.457 69.400 21.600 2.427 
-0.017 0.686 0.694 -0.330 -0.359 0.696 -0.464 69.200 21.400 2.413 
-0.068 0.647 0.708 -0.286 -0.391 0.681 -0.459 69.000 21.200 2.398 
-0.076 0.662 0.728 -0.288 -0.405 0.701 -0.430 68.800 21.000 2.383 
-0.083 0.603 0.672 -0.252 -0.383 0.645 -0.386 68.400 20.800 2.364 
-0.107 0.376 0.474 -0.129 -0.295 0.430 -0.276 68.200 20.600 2.344 
-0.107 0.239 0.332 -0.059 -0.227 0.293 -0.208 68.000 20.400 2.325 
-0.105 0.134 0.225 -0.007 -0.171 0.188 -0.164 67.600 20.200 2.305 
-0.076 0.085 0.149 0.002 -0.117 0.125 -0.127 67.400 20.200 2.291 
-0.078 0.046 0.105 0.027 -0.100 0.085 -0.098 67.200 20.400 2.276 
-0.051 0.024 0.061 0.022 -0.063 0.051 -0.078 67.200 20.800 2.261 
-0.020 0.020 0.027 0.007 -0.029 0.029 -0.059 67.400 21.400 2.247 
-0.049 -0.007 0.022 0.039 -0.044 0.017 -0.034 67.600 22.000 2.227 
-0.042 -0.017 0.005 0.039 -0.032 0.005 -0.017 68.000 23.000 2.208 
-0.034 -0.046 -0.022 0.046 -0.010 -0.029 0.005 68.600 24.200 2.188 
-0.034 -0.073 -0.056 0.063 0.002 -0.056 0.024 69.000 25.600 2.168 
