I II III aVL aVF V1 V2 LV AO Resp SPO2
-0.000 -0.042 -0.000 0.020 -0.039 0.002 0.012 -1.800 76.600 -0.261 4.068 
-0.000 -0.034 -0.000 0.027 -0.039 -0.002 0.005 -1.800 76.400 -0.256 4.024 
-0.000 -0.027 -0.000 0.027 -0.032 0.012 0.002 -1.800 76.000 -0.252 3.971 
-0.000 -0.027 -0.000 0.029 -0.034 0.005 0.002 -1.800 75.600 -0.249 3.917 
-0.000 -0.022 -0.000 0.034 -0.032 0.007 -0.002 -1.800 75.200 -0.247 3.863 
-0.000 -0.029 -0.000 0.024 -0.034 0.007 0.005 -1.800 74.800 -0.242 3.810 
-0.000 -0.022 -0.000 0.022 -0.027 0.005 0.002 -1.800 74.600 -0.237 3.746 
-0.000 -0.015 -0.000 0.027 -0.024 0.005 -0.005 -1.800 74.200 -0.230 3.683 
-0.000 -0.015 -0.000 0.027 -0.024 0.005 -0.005 -1.800 74.000 -0.225 3.619 
-0.000 -0.027 -0.000 0.020 -0.029 -0.000 0.005 -1.800 73.800 -0.217 3.556 
-0.000 -0.012 -0.000 0.024 -0.020 -0.000 -0.005 -1.800 73.600 -0.042 3.487 
-0.000 -0.015 -0.000 0.022 -0.022 -0.005 -0.002 -1.800 73.600 -0.034 3.419 
-0.000 -0.012 -0.000 0.020 -0.017 -0.005 -0.002 -2.000 73.800 0.139 3.350 
-0.000 -0.002 -0.000 0.022 -0.012 -0.005 -0.007 -2.000 74.200 0.147 3.282 
-0.000 -0.002 -0.000 0.015 -0.007 -0.007 -0.005 -2.000 75.200 -0.020 3.228 
-0.000 0.024 -0.000 0.027 0.005 0.005 -0.024 -2.000 76.000 -0.017 3.175 
-0.000 0.020 -0.000 0.032 -0.000 -0.002 -0.022 -2.000 77.600 -0.183 3.121 
-0.000 0.020 -0.000 0.017 0.007 -0.005 -0.017 -1.800 79.200 -0.181 3.067 
-0.000 0.027 -0.000 0.012 0.015 -0.007 -0.020 -1.800 81.200 -0.178 3.018 
-0.000 0.032 -0.000 0.017 0.017 -0.010 -0.024 -1.800 83.000 -0.173 2.969 
-0.000 0.032 -0.000 0.020 0.015 -0.007 -0.024 -1.800 85.200 -0.171 2.921 
-0.000 0.032 -0.000 0.015 0.017 -0.012 -0.022 -1.800 87.400 -0.166 2.872 
