I II III aVR aVL aVF V1 LV AO Resp SPO2
-0.232 -0.115 0.110 0.178 -0.173 0.002 0.088 30.600 101.200 0.015 3.267 
-0.234 -0.112 0.120 0.176 -0.178 0.005 0.095 33.200 100.600 0.015 3.253 
-0.220 -0.134 0.088 0.176 -0.151 -0.024 0.095 36.800 100.000 0.015 3.238 
-0.244 -0.125 0.120 0.186 -0.181 -0.002 0.100 40.200 99.200 0.017 3.223 
-0.266 -0.127 0.134 0.200 -0.203 0.007 0.103 44.400 98.600 0.017 3.209 
-0.254 -0.134 0.122 0.193 -0.186 -0.007 0.117 48.800 98.000 0.017 3.194 
-0.254 -0.120 0.142 0.183 -0.193 0.007 0.110 53.200 97.400 0.017 3.179 
-0.274 -0.137 0.137 0.205 -0.205 -0.000 0.125 57.800 96.800 0.017 3.165 
-0.274 -0.134 0.134 0.208 -0.205 0.002 0.127 62.600 96.400 0.017 3.150 
-0.266 -0.132 0.139 0.198 -0.200 0.002 0.134 67.400 95.800 0.020 3.136 
-0.300 -0.125 0.171 0.215 -0.237 0.027 0.144 72.200 95.600 0.020 3.121 
-0.310 -0.115 0.190 0.215 -0.252 0.042 0.137 77.000 95.400 0.022 3.106 
-0.310 -0.132 0.168 0.227 -0.244 0.024 0.142 81.600 95.600 0.022 3.082 
-0.317 -0.132 0.181 0.227 -0.252 0.027 0.147 86.400 95.600 0.022 3.057 
-0.347 -0.127 0.217 0.239 -0.283 0.046 0.159 91.000 96.400 0.024 3.033 
-0.357 -0.120 0.232 0.242 -0.295 0.059 0.173 95.800 97.000 0.024 3.009 
-0.361 -0.122 0.234 0.244 -0.300 0.059 0.178 100.200 98.000 0.024 2.989 
-0.388 -0.122 0.254 0.261 -0.327 0.073 0.210 104.600 99.200 0.027 2.969 
-0.405 -0.103 0.298 0.256 -0.354 0.100 0.232 108.000 100.600 0.027 2.950 
-0.396 -0.044 0.339 0.227 -0.374 0.154 0.247 111.600 102.200 0.029 2.930 
-0.393 -0.034 0.344 0.222 -0.376 0.164 0.278 114.000 103.800 0.029 2.906 
-0.422 -0.002 0.413 0.217 -0.420 0.210 0.298 116.400 105.600 0.032 2.882 
-0.430 0.002 0.427 0.217 -0.430 0.217 0.322 117.800 107.400 0.034 2.857 
-0.420 -0.005 0.405 0.217 -0.418 0.205 0.337 119.000 109.400 0.037 2.833 
-0.440 0.017 0.442 0.220 -0.447 0.237 0.320 119.800 111.000 0.037 2.813 
-0.447 -0.002 0.437 0.230 -0.444 0.222 0.298 120.400 112.800 0.037 2.794 
-0.442 0.017 0.457 0.215 -0.449 0.239 0.283 121.000 114.400 0.037 2.774 
-0.440 0.027 0.454 0.212 -0.452 0.247 0.264 121.400 116.000 0.037 2.755 
-0.459 -0.005 0.442 0.239 -0.457 0.225 0.259 121.800 117.200 0.039 2.730 
-0.466 -0.044 0.413 0.261 -0.444 0.190 0.266 122.400 118.400 0.044 2.706 
-0.459 -0.066 0.386 0.266 -0.425 0.164 0.281 122.800 119.400 0.046 2.681 
-0.457 -0.088 0.359 0.278 -0.413 0.142 0.317 123.400 120.200 0.051 2.657 
-0.474 -0.078 0.381 0.283 -0.435 0.159 0.330 123.800 121.000 0.051 2.637 
-0.437 -0.103 0.322 0.276 -0.386 0.117 0.349 124.400 121.600 0.051 2.618 
-0.418 -0.120 0.286 0.276 -0.357 0.090 0.361 124.600 122.000 0.054 2.598 
-0.405 -0.112 0.281 0.266 -0.349 0.090 0.354 125.000 122.400 0.054 2.579 
-0.391 -0.132 0.252 0.266 -0.325 0.063 0.354 125.000 122.600 0.056 2.554 
-0.383 -0.142 0.227 0.271 -0.313 0.051 0.371 125.000 122.600 0.059 2.530 
-0.374 -0.176 0.195 0.276 -0.286 0.012 0.371 124.600 122.600 0.059 2.505 
-0.374 -0.220 0.147 0.300 -0.264 -0.032 0.371 124.200 122.400 0.063 2.481 
-0.342 -0.222 0.117 0.283 -0.230 -0.051 0.347 123.400 122.000 0.063 2.462 
-0.308 -0.215 0.093 0.261 -0.200 -0.061 0.315 122.600 121.600 0.063 2.442 
-0.278 -0.222 0.054 0.252 -0.166 -0.083 0.293 121.400 120.800 0.063 2.422 
-0.242 -0.212 0.024 0.230 -0.134 -0.090 0.261 120.200 120.200 0.066 2.403 
-0.220 -0.217 0.002 0.220 -0.110 -0.107 0.244 118.600 119.200 0.066 2.379 
-0.198 -0.195 0.002 0.198 -0.100 -0.095 0.212 117.000 118.400 0.066 2.354 
-0.171 -0.205 -0.032 0.188 -0.068 -0.120 0.183 115.200 117.200 0.068 2.330 
-0.151 -0.164 -0.017 0.161 -0.068 -0.088 0.154 113.200 116.000 0.068 2.305 
-0.125 -0.132 -0.010 0.129 -0.059 -0.068 0.125 111.200 114.600 0.071 2.286 
-0.110 -0.120 -0.012 0.117 -0.049 -0.063 0.098 109.000 113.200 0.071 2.266 
-0.093 -0.117 -0.022 0.105 -0.034 -0.071 0.081 106.600 111.800 0.073 2.247 
-0.078 -0.112 -0.042 0.100 -0.022 -0.073 0.063 104.200 110.200 0.073 2.227 
-0.066 -0.103 -0.037 0.085 -0.015 -0.068 0.046 101.800 108.800 0.076 2.203 
-0.056 -0.085 -0.032 0.073 -0.012 -0.056 0.037 99.200 107.200 0.076 2.178 
