I II III aVR aVL aVF V1 AO SPO2
0.015 -0.007 -0.020 -0.005 0.020 -0.015 -0.010 122.600 2.354 
0.002 -0.017 -0.017 0.007 0.012 -0.017 -0.005 121.600 2.344 
0.002 -0.012 -0.012 0.005 0.010 -0.012 -0.005 120.600 2.330 
0.010 -0.000 -0.007 -0.005 0.010 -0.005 -0.000 119.400 2.315 
0.015 0.002 -0.002 -0.012 0.015 -0.005 -0.007 118.200 2.300 
0.005 -0.002 -0.005 -0.002 0.007 -0.005 -0.005 116.800 2.286 
0.010 -0.010 -0.017 -0.000 0.015 -0.015 -0.007 115.200 2.281 
0.010 -0.020 -0.022 0.002 0.020 -0.024 -0.007 113.600 2.276 
0.012 -0.015 -0.024 -0.000 0.020 -0.020 -0.012 111.800 2.271 
0.015 -0.012 -0.022 -0.002 0.022 -0.020 -0.005 110.200 2.266 
0.015 -0.005 -0.017 -0.005 0.017 -0.012 -0.005 108.600 2.256 
0.012 -0.002 -0.010 -0.007 0.015 -0.007 -0.007 107.000 2.247 
0.015 -0.002 -0.010 -0.010 0.017 -0.010 -0.010 105.800 2.237 
0.012 -0.002 -0.010 -0.007 0.015 -0.007 -0.007 104.600 2.227 
0.022 0.005 -0.010 -0.017 0.020 -0.005 -0.012 104.000 2.222 
0.022 0.002 -0.012 -0.015 0.022 -0.007 -0.010 103.200 2.217 
0.022 0.002 -0.012 -0.015 0.022 -0.007 -0.005 103.000 2.212 
0.020 0.005 -0.012 -0.012 0.017 -0.005 -0.015 102.600 2.208 
0.022 -0.000 -0.012 -0.015 0.022 -0.010 -0.005 102.400 2.198 
0.022 0.010 -0.007 -0.017 0.017 -0.000 -0.000 102.000 2.188 
0.017 0.010 -0.002 -0.015 0.012 0.002 -0.007 101.800 2.178 
0.032 0.020 -0.000 -0.032 0.022 0.005 -0.017 101.400 2.168 
0.027 0.032 0.007 -0.029 0.012 0.020 -0.017 101.000 2.154 
0.027 0.044 0.020 -0.037 0.005 0.032 -0.015 100.400 2.139 
0.037 0.061 0.029 -0.051 0.007 0.044 -0.020 100.000 2.125 
0.037 0.063 0.029 -0.051 0.005 0.046 -0.022 99.400 2.110 
0.032 0.063 0.034 -0.049 -0.000 0.049 -0.022 98.800 2.095 
0.044 0.071 0.034 -0.061 0.010 0.049 -0.032 98.200 2.081 
0.068 0.095 0.034 -0.085 0.022 0.061 -0.054 97.600 2.066 
0.078 0.110 0.037 -0.095 0.024 0.071 -0.066 97.000 2.051 
0.085 0.120 0.034 -0.103 0.027 0.078 -0.093 96.400 2.042 
0.090 0.117 0.032 -0.105 0.032 0.073 -0.110 95.800 2.032 
0.088 0.103 0.020 -0.098 0.037 0.059 -0.112 95.200 2.022 
0.085 0.098 0.015 -0.093 0.037 0.056 -0.107 94.600 2.012 
0.081 0.090 0.010 -0.085 0.037 0.051 -0.107 94.000 2.012 
0.081 0.085 0.012 -0.085 0.039 0.046 -0.100 93.400 2.012 
0.081 0.100 0.022 -0.090 0.032 0.061 -0.083 93.000 2.012 
0.085 0.100 0.022 -0.095 0.037 0.059 -0.085 92.400 2.012 
0.081 0.098 0.020 -0.090 0.032 0.059 -0.068 92.000 2.032 
0.068 0.083 0.020 -0.078 0.027 0.049 -0.059 91.600 2.051 
0.046 0.068 0.027 -0.059 0.012 0.046 -0.042 91.200 2.071 
0.027 0.046 0.020 -0.037 0.005 0.034 -0.020 90.800 2.090 
0.012 0.022 0.010 -0.017 0.002 0.017 -0.010 90.400 2.129 
0.012 0.012 -0.000 -0.012 0.007 0.007 -0.002 90.000 2.168 
