I II III aVR aVL aVF V1 V2 AO SPO2 
0.137 -0.537 -0.652 0.190 0.405 -0.606 0.051 0.132 67.800 3.350 
0.171 -0.601 -0.750 0.205 0.471 -0.686 0.044 0.142 67.400 3.341 
0.210 -0.657 -0.847 0.215 0.540 -0.762 0.059 0.147 67.000 3.331 
0.259 -0.691 -0.933 0.208 0.606 -0.821 0.061 0.142 66.600 3.321 
0.276 -0.747 -1.001 0.225 0.650 -0.884 0.095 0.154 66.400 3.311 
0.281 -0.840 -1.096 0.269 0.701 -0.979 0.149 0.183 66.000 3.302 
0.283 -0.886 -1.150 0.293 0.728 -1.028 0.205 0.198 65.600 3.292 
0.286 -0.879 -1.140 0.286 0.725 -1.021 0.234 0.195 65.200 3.282 
0.239 -0.821 -1.035 0.278 0.650 -0.940 0.176 0.190 65.000 3.272 
0.208 -0.803 -0.989 0.288 0.611 -0.906 0.046 0.195 64.800 3.263 
0.122 -0.872 -0.977 0.366 0.559 -0.933 0.063 0.247 64.600 3.253 
0.110 -0.935 -1.026 0.403 0.579 -0.989 -0.012 0.274 64.400 3.243 
0.122 -0.945 -1.043 0.400 0.596 -1.006 -0.132 0.271 64.200 3.238 
0.161 -0.933 -1.070 0.374 0.628 -1.013 -0.274 0.254 64.000 3.233 
0.154 -0.911 -1.055 0.374 0.611 -0.987 -0.361 0.249 64.000 3.228 
0.212 -0.838 -1.031 0.303 0.632 -0.943 -0.471 0.205 63.800 3.223 
0.242 -0.750 -0.969 0.244 0.618 -0.869 -0.471 0.166 63.800 3.219 
0.220 -0.652 -0.852 0.208 0.547 -0.762 -0.415 0.142 63.600 3.214 
0.193 -0.537 -0.708 0.161 0.462 -0.632 -0.369 0.112 63.600 3.209 
0.173 -0.420 -0.571 0.112 0.383 -0.505 -0.313 0.081 63.400 3.204 
0.149 -0.339 -0.466 0.085 0.320 -0.413 -0.266 0.061 63.400 3.199 
0.120 -0.303 -0.400 0.081 0.271 -0.361 -0.222 0.059 63.200 3.194 
0.095 -0.300 -0.376 0.093 0.247 -0.347 -0.203 0.066 63.000 3.189 
0.078 -0.283 -0.335 0.090 0.220 -0.322 -0.176 0.066 62.800 3.184 
0.063 -0.247 -0.288 0.081 0.188 -0.278 -0.132 0.059 62.600 3.175 
