I II III aVR aVL aVF V1 AO Resp SPO2
0.032 0.137 0.098 -0.081 -0.037 0.122 0.066 82.800 0.120 2.217 
0.046 0.154 0.105 -0.098 -0.029 0.132 0.083 82.200 0.117 2.183 
0.054 0.193 0.134 -0.120 -0.042 0.166 0.095 81.600 0.115 2.149 
0.061 0.210 0.139 -0.129 -0.044 0.181 0.110 80.800 0.112 2.095 
0.059 0.225 0.154 -0.134 -0.054 0.195 0.090 80.000 0.110 2.042 
0.049 0.227 0.173 -0.134 -0.063 0.203 0.085 79.200 0.107 1.988 
0.046 0.227 0.171 -0.132 -0.066 0.205 0.100 78.400 0.105 1.934 
0.061 0.225 0.159 -0.139 -0.051 0.195 0.056 77.800 0.103 1.924 
0.066 0.212 0.142 -0.137 -0.039 0.181 -0.010 77.200 0.100 1.915 
0.056 0.176 0.112 -0.112 -0.032 0.149 -0.032 76.600 0.098 1.905 
0.044 0.161 0.117 -0.103 -0.037 0.139 -0.056 76.200 0.093 1.895 
0.042 0.147 0.105 -0.093 -0.032 0.127 -0.059 75.600 0.090 1.885 
0.046 0.144 0.095 -0.093 -0.024 0.122 -0.068 75.200 0.085 1.875 
0.059 0.149 0.088 -0.103 -0.015 0.120 -0.076 74.600 0.083 1.866 
0.061 0.144 0.076 -0.098 -0.010 0.115 -0.076 74.000 0.078 1.856 
0.056 0.100 0.037 -0.073 0.007 0.073 -0.061 73.600 0.076 1.841 
0.044 0.061 0.005 -0.046 0.015 0.039 -0.046 73.000 0.073 1.827 
0.051 0.061 0.007 -0.054 0.022 0.037 -0.044 72.400 0.068 1.812 
0.029 0.044 0.015 -0.037 0.007 0.029 -0.032 71.600 0.066 1.797 
0.007 0.046 0.032 -0.022 -0.015 0.044 -0.024 71.000 0.063 1.778 
-0.007 0.046 0.044 -0.015 -0.029 0.051 -0.012 70.400 0.059 1.758 
0.005 0.049 0.037 -0.022 -0.020 0.046 -0.005 70.000 0.056 1.739 
-0.000 0.044 0.034 -0.017 -0.022 0.044 -0.007 69.400 0.054 1.719 
-0.005 0.020 0.017 -0.002 -0.015 0.022 0.005 69.000 0.051 1.700 
-0.005 0.005 0.002 0.005 -0.007 0.007 0.005 68.800 0.051 1.680 
-0.002 0.005 -0.002 0.005 -0.005 0.007 0.005 68.400 0.049 1.661 
-0.029 -0.007 0.015 0.022 -0.024 0.007 0.015 68.200 0.049 1.641 
-0.015 -0.012 0.005 0.012 -0.007 -0.005 0.015 67.800 0.046 1.631 
-0.007 -0.007 0.002 0.007 -0.002 -0.002 0.022 67.600 0.046 1.621 
-0.015 -0.007 0.005 0.012 -0.010 -0.000 0.020 67.400 0.044 1.612 
-0.015 -0.000 0.012 0.010 -0.015 0.007 0.024 67.200 0.042 1.602 
-0.007 0.007 0.020 -0.002 -0.010 0.012 0.020 67.200 0.042 1.621 
-0.034 -0.007 0.027 0.022 -0.029 0.010 0.020 67.200 0.039 1.641 
-0.027 -0.005 0.022 0.017 -0.024 0.010 0.020 67.400 0.039 1.661 
-0.015 0.007 0.015 0.007 -0.017 0.015 0.022 67.600 0.037 1.680 
-0.020 0.007 0.027 0.007 -0.022 0.017 0.017 68.000 0.037 1.729 
-0.020 0.005 0.024 0.007 -0.022 0.015 0.020 68.400 0.034 1.778 
-0.017 0.012 0.029 0.002 -0.022 0.022 0.017 69.000 0.034 1.827 
-0.022 0.007 0.024 0.010 -0.024 0.020 0.012 69.400 0.034 1.875 
-0.020 0.012 0.027 0.007 -0.024 0.022 0.017 70.000 0.034 1.958 
-0.017 0.042 0.056 -0.010 -0.037 0.051 0.027 70.600 0.034 2.042 
0.005 0.129 0.120 -0.063 -0.059 0.127 0.042 71.000 0.034 2.125 
-0.007 0.208 0.210 -0.098 -0.110 0.212 0.085 71.400 0.034 2.208 
0.056 0.293 0.232 -0.171 -0.090 0.266 0.093 71.800 0.034 2.310 
0.183 0.425 0.234 -0.300 -0.029 0.335 0.034 72.400 0.034 2.413 
0.344 0.664 0.317 -0.503 0.012 0.493 -0.142 72.600 0.034 2.515 
0.642 0.967 0.325 -0.803 0.159 0.647 -0.454 73.000 0.034 2.618 
0.842 1.245 0.398 -1.040 0.220 0.825 -0.713 73.400 0.037 2.725 
0.918 1.182 0.254 -1.045 0.327 0.723 -0.757 73.600 0.037 2.833 
0.698 0.720 0.012 -0.703 0.339 0.371 -0.505 73.600 0.037 2.940 
0.100 0.366 0.256 -0.227 -0.083 0.317 -0.054 73.800 0.039 3.048 
-0.244 0.215 0.454 0.017 -0.352 0.337 0.203 73.800 0.039 3.136 
-0.310 0.132 0.440 0.090 -0.376 0.288 0.261 73.800 0.039 3.223 
-0.274 0.147 0.418 0.066 -0.347 0.283 0.208 73.800 0.039 3.311 
-0.269 0.127 0.398 0.071 -0.332 0.261 0.259 73.600 0.042 3.399 
-0.281 0.110 0.383 0.090 -0.335 0.252 0.354 73.600 0.042 3.463 
-0.274 0.110 0.386 0.081 -0.327 0.247 0.393 73.400 0.042 3.526 
-0.256 0.127 0.379 0.068 -0.320 0.256 0.420 73.400 0.042 3.590 
-0.266 0.115 0.381 0.076 -0.322 0.249 0.466 73.200 0.042 3.653 
-0.278 0.083 0.357 0.100 -0.320 0.222 0.515 73.000 0.042 3.678 
-0.259 0.024 0.281 0.120 -0.271 0.154 0.608 72.800 0.042 3.702 
-0.242 -0.002 0.237 0.125 -0.239 0.120 0.713 72.600 0.042 3.726 
-0.232 -0.022 0.200 0.132 -0.220 0.095 0.821 72.400 0.042 3.751 
-0.205 -0.017 0.181 0.115 -0.195 0.085 0.845 72.400 0.039 3.751 
-0.195 -0.029 0.164 0.115 -0.181 0.068 0.847 72.200 0.039 3.751 
