I II III aVR aVL aVF V1 AO SPO2
0.151 0.083 0.017 -0.159 0.110 0.007 -0.012 5.200 2.559 
0.147 0.073 0.017 -0.154 0.110 -0.000 -0.007 5.200 2.549 
0.151 0.066 0.002 -0.151 0.120 -0.010 -0.015 5.200 2.540 
0.161 0.071 -0.000 -0.161 0.127 -0.010 -0.007 5.200 2.530 
0.149 0.076 0.017 -0.156 0.112 0.002 -0.024 5.200 2.520 
0.151 0.090 0.029 -0.166 0.107 0.015 -0.027 5.200 2.510 
0.154 0.095 0.029 -0.168 0.107 0.020 -0.037 5.200 2.501 
0.149 0.071 0.010 -0.154 0.115 -0.002 -0.034 5.200 2.491 
0.125 0.063 0.027 -0.137 0.093 0.002 -0.029 5.000 2.481 
0.120 0.054 0.022 -0.129 0.093 -0.005 -0.029 5.000 2.466 
0.115 0.039 0.007 -0.117 0.095 -0.017 -0.024 5.000 2.452 
0.095 0.007 -0.005 -0.093 0.093 -0.039 -0.015 5.000 2.437 
0.098 -0.020 -0.024 -0.085 0.107 -0.068 -0.012 5.000 2.422 
0.073 -0.027 -0.020 -0.063 0.088 -0.063 -0.010 5.000 2.383 
0.081 -0.056 -0.054 -0.054 0.110 -0.095 0.002 5.000 2.344 
0.046 -0.093 -0.061 -0.015 0.093 -0.115 0.005 5.000 2.305 
0.044 -0.107 -0.066 -0.010 0.098 -0.129 0.015 5.000 2.266 
0.027 -0.142 -0.083 0.015 0.098 -0.154 0.020 5.000 2.247 
0.007 -0.159 -0.085 0.037 0.088 -0.161 0.034 5.000 2.227 
0.010 -0.178 -0.105 0.044 0.100 -0.183 0.032 5.000 2.208 
0.010 -0.181 -0.105 0.044 0.100 -0.186 0.029 5.000 2.188 
-0.005 -0.203 -0.112 0.061 0.098 -0.200 0.034 4.800 2.168 
0.002 -0.212 -0.129 0.063 0.110 -0.212 0.042 4.800 2.149 
-0.000 -0.210 -0.129 0.066 0.105 -0.210 0.037 4.800 2.129 
-0.015 -0.215 -0.115 0.073 0.093 -0.208 0.046 4.800 2.110 
-0.010 -0.222 -0.134 0.078 0.103 -0.217 0.046 4.800 2.090 
-0.020 -0.225 -0.122 0.081 0.093 -0.215 0.051 4.800 2.071 
-0.020 -0.220 -0.120 0.081 0.090 -0.210 0.049 4.800 2.051 
-0.034 -0.234 -0.117 0.093 0.083 -0.217 0.049 4.800 2.032 
-0.034 -0.247 -0.134 0.103 0.090 -0.230 0.049 4.800 2.007 
-0.017 -0.232 -0.137 0.085 0.100 -0.222 0.044 4.600 1.983 
-0.020 -0.234 -0.129 0.085 0.098 -0.225 0.051 4.600 1.958 
-0.015 -0.232 -0.134 0.083 0.103 -0.225 0.051 4.600 1.934 
-0.022 -0.225 -0.120 0.083 0.090 -0.212 0.046 4.600 1.900 
-0.037 -0.225 -0.112 0.093 0.076 -0.205 0.054 4.600 1.866 
-0.027 -0.215 -0.110 0.083 0.081 -0.200 0.046 4.600 1.832 
-0.027 -0.215 -0.115 0.085 0.081 -0.200 0.046 4.600 1.797 
-0.022 -0.242 -0.134 0.090 0.100 -0.230 0.042 4.600 1.763 
-0.027 -0.256 -0.147 0.100 0.103 -0.242 0.042 4.600 1.729 
-0.024 -0.247 -0.142 0.095 0.100 -0.234 0.044 4.600 1.695 
-0.029 -0.256 -0.137 0.098 0.100 -0.242 0.049 4.800 1.661 
-0.017 -0.239 -0.134 0.085 0.103 -0.230 0.049 4.800 1.636 
-0.029 -0.237 -0.127 0.093 0.090 -0.222 0.051 4.800 1.612 
-0.027 -0.239 -0.129 0.093 0.093 -0.225 0.049 4.800 1.587 
-0.032 -0.230 -0.117 0.090 0.083 -0.212 0.051 4.800 1.563 
-0.027 -0.234 -0.132 0.093 0.090 -0.220 0.051 4.800 1.563 
-0.037 -0.237 -0.122 0.098 0.083 -0.217 0.054 4.800 1.563 
-0.020 -0.225 -0.129 0.085 0.093 -0.215 0.044 4.800 1.563 
-0.020 -0.234 -0.137 0.088 0.098 -0.225 0.049 4.800 1.563 
-0.022 -0.217 -0.117 0.081 0.088 -0.205 0.046 4.800 1.602 
-0.020 -0.205 -0.105 0.073 0.083 -0.195 0.044 5.000 1.641 
-0.012 -0.186 -0.090 0.059 0.081 -0.178 0.042 5.000 1.680 
-0.010 -0.183 -0.093 0.056 0.083 -0.178 0.039 5.000 1.719 
-0.000 -0.188 -0.107 0.054 0.095 -0.188 0.039 5.000 1.792 
-0.000 -0.181 -0.090 0.046 0.090 -0.181 0.032 5.000 1.866 
-0.007 -0.178 -0.083 0.049 0.083 -0.173 0.039 5.000 1.939 
0.007 -0.173 -0.090 0.039 0.095 -0.176 0.039 5.000 2.012 
-0.007 -0.173 -0.083 0.049 0.081 -0.168 0.042 5.000 2.115 
-0.012 -0.188 -0.093 0.059 0.083 -0.181 0.044 5.000 2.217 
0.005 -0.190 -0.107 0.049 0.100 -0.193 0.046 5.000 2.320 
-0.015 -0.168 -0.068 0.049 0.071 -0.161 0.042 5.000 2.422 
0.002 -0.144 -0.066 0.032 0.076 -0.144 0.017 5.000 2.530 
0.020 -0.147 -0.083 0.022 0.093 -0.156 0.012 5.000 2.637 
0.020 -0.159 -0.093 0.027 0.100 -0.168 0.010 5.000 2.745 
0.015 -0.171 -0.100 0.037 0.100 -0.178 0.007 5.000 2.852 
0.007 -0.186 -0.100 0.044 0.100 -0.188 -0.002 5.000 2.945 
0.005 -0.178 -0.095 0.044 0.095 -0.181 0.007 5.000 3.038 
0.017 -0.181 -0.115 0.042 0.107 -0.188 0.010 5.000 3.131 
0.017 -0.186 -0.120 0.044 0.110 -0.193 0.010 5.000 3.223 
0.015 -0.195 -0.125 0.049 0.112 -0.203 0.015 5.000 3.292 
0.024 -0.203 -0.139 0.046 0.127 -0.215 0.010 5.000 3.360 
0.022 -0.203 -0.142 0.049 0.125 -0.212 0.020 5.000 3.429 
0.027 -0.210 -0.154 0.051 0.132 -0.222 0.017 5.000 3.497 
0.010 -0.232 -0.161 0.071 0.127 -0.237 0.027 5.000 3.536 
-0.007 -0.261 -0.171 0.093 0.125 -0.256 0.029 5.000 3.575 
-0.020 -0.266 -0.161 0.100 0.115 -0.256 0.044 5.000 3.614 
-0.027 -0.271 -0.159 0.107 0.110 -0.256 0.046 5.000 3.653 
-0.034 -0.264 -0.147 0.107 0.098 -0.247 0.042 5.000 3.668 
-0.039 -0.252 -0.129 0.105 0.088 -0.232 0.046 5.000 3.683 
-0.039 -0.276 -0.154 0.117 0.100 -0.256 0.042 5.000 3.697 
-0.042 -0.286 -0.161 0.122 0.103 -0.264 0.044 5.000 3.712 
-0.037 -0.278 -0.154 0.115 0.103 -0.259 0.046 5.000 3.712 
-0.037 -0.278 -0.156 0.115 0.103 -0.259 0.046 5.000 3.712 
-0.046 -0.281 -0.151 0.122 0.095 -0.256 0.049 5.000 3.712 
-0.059 -0.276 -0.132 0.125 0.081 -0.247 0.061 5.000 3.712 
-0.051 -0.278 -0.139 0.122 0.088 -0.252 0.046 5.000 3.702 
