I II III aVR aVL aVF V1 V2 LV AO Resp SPO2
0.010 -0.024 -0.056 0.020 0.022 -0.029 0.012 0.002 10.600 67.400 0.283 1.797 
0.027 -0.042 -0.088 0.017 0.049 -0.054 0.034 0.002 11.200 67.000 0.281 1.807 
0.044 -0.046 -0.107 0.010 0.068 -0.068 0.056 -0.002 11.800 66.600 0.278 1.817 
0.088 -0.056 -0.161 -0.007 0.117 -0.100 0.122 -0.012 12.400 66.200 0.276 1.827 
0.176 -0.049 -0.244 -0.054 0.200 -0.137 0.195 -0.044 13.000 66.000 0.274 1.836 
0.266 -0.056 -0.347 -0.093 0.295 -0.188 0.278 -0.073 13.800 65.600 0.274 1.866 
0.315 -0.029 -0.364 -0.132 0.330 -0.186 0.325 -0.098 14.600 65.400 0.274 1.895 
0.315 0.049 -0.281 -0.173 0.291 -0.107 0.371 -0.125 15.400 65.200 0.271 1.924 
0.188 0.173 -0.039 -0.168 0.103 0.081 0.359 -0.122 16.200 65.000 0.269 1.954 
0.044 0.320 0.259 -0.173 -0.115 0.298 0.252 -0.125 17.200 65.000 0.269 2.002 
-0.093 0.459 0.535 -0.173 -0.322 0.505 0.188 -0.125 18.200 64.800 0.269 2.051 
-0.144 0.496 0.628 -0.168 -0.391 0.569 0.171 -0.120 19.200 64.800 0.269 2.100 
-0.151 0.476 0.611 -0.154 -0.388 0.552 0.181 -0.110 20.200 64.800 0.266 2.149 
-0.166 0.408 0.549 -0.107 -0.369 0.491 0.303 -0.083 21.200 64.800 0.266 2.203 
-0.208 0.278 0.462 -0.022 -0.347 0.383 0.523 -0.027 22.000 64.800 0.266 2.256 
-0.230 0.186 0.400 0.029 -0.322 0.300 0.716 0.012 23.000 64.800 0.266 2.310 
-0.232 0.159 0.371 0.046 -0.310 0.276 0.965 0.022 23.800 64.800 0.266 2.364 
-0.249 0.112 0.347 0.076 -0.305 0.237 1.016 0.044 24.400 64.800 0.266 2.422 
-0.288 0.056 0.327 0.125 -0.315 0.200 0.999 0.076 25.000 64.600 0.266 2.481 
-0.300 -0.002 0.278 0.161 -0.298 0.149 1.016 0.098 25.600 64.400 0.266 2.540 
-0.283 -0.022 0.239 0.164 -0.271 0.120 0.918 0.100 26.000 64.200 0.266 2.598 
-0.276 -0.049 0.203 0.176 -0.252 0.090 0.799 0.105 26.200 64.000 0.266 2.652 
-0.271 -0.083 0.168 0.188 -0.230 0.054 0.762 0.115 26.400 63.800 0.266 2.706 
-0.278 -0.110 0.147 0.205 -0.222 0.029 0.650 0.127 26.400 63.600 0.266 2.759 
-0.252 -0.098 0.132 0.186 -0.203 0.029 0.503 0.115 26.400 63.400 0.266 2.813 
-0.237 -0.103 0.112 0.181 -0.186 0.017 0.374 0.110 26.200 63.200 0.269 2.852 
-0.227 -0.117 0.090 0.183 -0.168 -0.002 0.322 0.112 26.000 63.000 0.269 2.891 
-0.198 -0.134 0.051 0.173 -0.129 -0.034 0.171 0.107 25.800 62.800 0.271 2.930 
-0.161 -0.090 0.051 0.137 -0.115 -0.010 0.022 0.081 25.600 62.400 0.274 2.969 
-0.147 -0.093 0.032 0.132 -0.100 -0.020 -0.056 0.078 25.400 62.200 0.274 2.999 
-0.142 -0.110 0.010 0.137 -0.085 -0.039 -0.147 0.081 25.400 62.000 0.274 3.028 
-0.120 -0.100 0.007 0.117 -0.068 -0.039 -0.212 0.071 25.600 61.800 0.274 3.057 
-0.085 -0.093 -0.027 0.100 -0.039 -0.049 -0.195 0.056 26.000 61.600 0.274 3.087 
-0.073 -0.071 -0.024 0.085 -0.037 -0.034 -0.181 0.046 26.600 61.600 0.276 3.106 
-0.063 -0.085 -0.037 0.083 -0.020 -0.054 -0.144 0.046 27.600 61.600 0.278 3.126 
-0.049 -0.085 -0.044 0.071 -0.005 -0.061 -0.098 0.042 29.000 61.800 0.281 3.145 
-0.032 -0.059 -0.051 0.059 -0.002 -0.042 -0.095 0.027 30.800 62.000 0.283 3.165 
-0.022 -0.056 -0.054 0.049 0.007 -0.044 -0.095 0.024 33.000 62.600 0.288 3.179 
-0.022 -0.063 -0.063 0.054 0.010 -0.051 -0.085 0.027 35.600 63.200 0.291 3.194 
-0.020 -0.063 -0.056 0.049 0.012 -0.054 -0.081 0.024 38.600 64.000 0.293 3.209 
-0.000 -0.044 -0.063 0.032 0.022 -0.044 -0.068 0.012 42.000 65.000 0.298 3.223 
-0.002 -0.046 -0.063 0.034 0.022 -0.044 -0.068 0.015 45.800 66.000 0.298 3.228 
-0.007 -0.056 -0.061 0.039 0.022 -0.051 -0.068 0.020 50.000 66.800 0.300 3.233 
-0.007 -0.061 -0.063 0.039 0.024 -0.056 -0.066 0.020 54.200 67.800 0.300 3.238 
0.002 -0.046 -0.066 0.032 0.027 -0.046 -0.063 0.012 58.600 68.800 0.303 3.243 
0.005 -0.044 -0.068 0.029 0.027 -0.046 -0.068 0.010 63.200 70.000 0.305 3.238 
-0.005 -0.059 -0.071 0.042 0.024 -0.056 -0.063 0.020 67.600 71.000 0.308 3.233 
-0.005 -0.061 -0.073 0.042 0.027 -0.059 -0.061 0.020 71.800 72.000 0.308 3.228 
0.010 -0.039 -0.068 0.024 0.029 -0.044 -0.068 0.007 75.600 73.200 0.313 3.223 
0.020 -0.039 -0.073 0.017 0.039 -0.049 -0.073 0.005 79.200 74.000 0.315 3.209 
0.005 -0.056 -0.078 0.034 0.034 -0.059 -0.083 0.015 82.600 75.000 0.317 3.194 
0.002 -0.061 -0.083 0.039 0.034 -0.061 -0.081 0.017 85.400 75.800 0.320 3.179 
0.015 -0.046 -0.081 0.027 0.039 -0.054 -0.083 0.007 87.800 76.600 0.322 3.165 
0.020 -0.046 -0.085 0.024 0.044 -0.056 -0.088 0.007 89.800 77.400 0.325 3.140 
0.010 -0.063 -0.093 0.037 0.042 -0.068 -0.098 0.015 91.400 78.000 0.330 3.116 
0.010 -0.071 -0.098 0.039 0.046 -0.076 -0.093 0.017 92.400 78.600 0.332 3.092 
0.029 -0.066 -0.110 0.027 0.063 -0.081 -0.103 0.010 93.200 79.000 0.337 3.067 
0.029 -0.061 -0.110 0.027 0.061 -0.076 -0.110 0.007 93.600 79.400 0.339 3.038 
0.029 -0.076 -0.120 0.032 0.068 -0.090 -0.125 0.012 93.600 79.800 0.339 3.009 
0.032 -0.078 -0.127 0.032 0.071 -0.093 -0.127 0.012 93.400 80.200 0.342 2.979 
0.046 -0.068 -0.137 0.022 0.081 -0.090 -0.134 0.005 93.000 80.400 0.344 2.950 
0.051 -0.083 -0.154 0.027 0.093 -0.107 -0.142 0.007 92.600 80.800 0.347 2.916 
0.051 -0.078 -0.151 0.024 0.090 -0.103 -0.156 0.007 92.200 81.000 0.347 2.882 
0.049 -0.081 -0.147 0.024 0.090 -0.105 -0.154 0.007 91.800 81.400 0.349 2.847 
0.068 -0.068 -0.161 0.012 0.103 -0.103 -0.156 -0.002 91.400 81.600 0.352 2.813 
0.073 -0.081 -0.176 0.015 0.115 -0.117 -0.156 -0.000 91.200 81.800 0.354 2.784 
0.076 -0.076 -0.168 0.010 0.115 -0.112 -0.151 -0.002 91.200 82.200 0.357 2.755 
0.071 -0.076 -0.164 0.012 0.110 -0.110 -0.142 -0.000 91.200 82.400 0.359 2.725 
0.088 -0.059 -0.171 -0.002 0.117 -0.103 -0.129 -0.012 91.400 82.600 0.364 2.696 
0.093 -0.059 -0.173 -0.005 0.122 -0.105 -0.115 -0.015 91.600 82.800 0.364 2.676 
0.090 -0.071 -0.173 -0.002 0.127 -0.115 -0.100 -0.010 91.800 83.200 0.366 2.657 
0.078 -0.071 -0.164 0.005 0.115 -0.110 -0.076 -0.005 92.200 83.400 0.366 2.637 
0.093 -0.051 -0.166 -0.010 0.120 -0.098 -0.054 -0.017 92.600 83.800 0.369 2.618 
0.081 -0.042 -0.147 -0.007 0.103 -0.081 -0.039 -0.015 93.000 84.200 0.369 2.603 
0.071 -0.049 -0.147 0.002 0.095 -0.083 -0.017 -0.010 93.400 84.400 0.369 2.589 
0.068 -0.049 -0.134 -0.000 0.093 -0.083 0.002 -0.010 93.600 84.800 0.369 2.574 
0.071 -0.034 -0.122 -0.010 0.088 -0.068 0.024 -0.015 94.000 85.000 0.369 2.559 
0.066 -0.024 -0.110 -0.010 0.078 -0.056 0.037 -0.017 94.200 85.200 0.371 2.540 
0.046 -0.032 -0.103 0.005 0.063 -0.054 0.049 -0.007 94.200 85.400 0.371 2.520 
