I II III aVR aVL aVF V2 AO LV SPO2
0.012 -0.020 -0.046 0.012 0.022 -0.024 -0.000 79.800 27.400 2.471 
0.024 0.002 -0.042 -0.002 0.024 -0.010 -0.012 79.400 25.800 2.462 
0.046 0.007 -0.061 -0.015 0.044 -0.015 -0.020 79.200 24.600 2.447 
0.024 -0.015 -0.059 0.005 0.032 -0.027 -0.005 78.800 23.600 2.432 
0.007 -0.017 -0.044 0.015 0.017 -0.020 -0.000 78.600 22.600 2.418 
0.029 0.002 -0.042 -0.007 0.029 -0.012 -0.012 78.400 21.800 2.403 
0.046 -0.002 -0.063 -0.015 0.049 -0.024 -0.017 78.000 21.200 2.393 
0.020 -0.022 -0.056 0.010 0.032 -0.032 -0.002 77.800 20.400 2.383 
0.005 -0.015 -0.039 0.015 0.012 -0.017 -0.000 77.400 19.800 2.374 
0.037 0.007 -0.051 -0.010 0.034 -0.010 -0.017 77.000 19.400 2.364 
0.042 -0.007 -0.068 -0.007 0.046 -0.027 -0.015 76.800 18.800 2.354 
0.010 -0.022 -0.051 0.017 0.022 -0.027 0.002 76.400 18.200 2.344 
0.012 -0.005 -0.039 0.007 0.015 -0.010 -0.005 76.000 17.600 2.335 
0.039 0.007 -0.051 -0.012 0.037 -0.012 -0.017 75.400 17.000 2.325 
0.037 -0.012 -0.066 -0.002 0.044 -0.029 -0.010 75.000 16.600 2.315 
0.010 -0.017 -0.049 0.015 0.020 -0.022 -0.000 74.600 16.000 2.305 
0.020 0.005 -0.037 -0.000 0.017 -0.005 -0.010 74.200 15.400 2.295 
0.042 0.010 -0.051 -0.015 0.037 -0.010 -0.020 73.800 15.000 2.286 
0.024 -0.012 -0.056 0.005 0.032 -0.024 -0.007 73.400 14.600 2.281 
0.002 -0.012 -0.032 0.015 0.010 -0.012 -0.000 72.800 14.200 2.276 
0.022 0.010 -0.029 -0.007 0.017 -0.000 -0.012 72.400 14.000 2.271 
0.034 0.007 -0.046 -0.010 0.032 -0.010 -0.017 72.200 13.600 2.266 
0.010 -0.015 -0.049 0.015 0.017 -0.020 -0.000 71.800 13.400 2.256 
-0.002 -0.005 -0.027 0.017 -0.000 -0.002 -0.000 71.400 13.400 2.247 
0.020 0.010 -0.034 -0.002 0.015 -0.000 -0.012 71.000 13.200 2.237 
0.027 -0.007 -0.049 -0.002 0.032 -0.020 -0.010 70.800 13.200 2.227 
-0.005 -0.022 -0.039 0.024 0.007 -0.020 0.007 70.400 13.200 2.217 
-0.005 -0.010 -0.024 0.017 -0.000 -0.007 0.002 70.200 13.200 2.208 
0.024 0.002 -0.042 -0.002 0.024 -0.010 -0.012 69.800 13.000 2.198 
0.017 -0.022 -0.056 0.012 0.029 -0.029 -0.000 69.600 13.000 2.188 
-0.000 -0.027 -0.049 0.024 0.015 -0.027 0.007 69.400 13.000 2.178 
0.015 -0.010 -0.046 0.010 0.020 -0.017 -0.005 69.000 13.000 2.168 
0.037 -0.005 -0.061 -0.005 0.039 -0.022 -0.012 68.800 13.000 2.159 
0.027 -0.027 -0.066 0.007 0.042 -0.039 -0.002 68.400 13.000 2.149 
0.015 -0.022 -0.056 0.015 0.027 -0.029 -0.000 68.200 13.000 2.139 
0.039 -0.005 -0.056 -0.010 0.042 -0.024 -0.015 68.000 13.000 2.129 
0.049 -0.005 -0.073 -0.012 0.051 -0.029 -0.017 67.600 13.000 2.120 
0.027 -0.024 -0.066 0.007 0.039 -0.037 -0.002 67.400 13.200 2.110 
0.022 -0.010 -0.044 -0.000 0.027 -0.020 -0.007 67.200 13.200 2.100 
0.054 0.005 -0.056 -0.024 0.051 -0.022 -0.022 66.800 13.200 2.090 
0.051 -0.007 -0.076 -0.012 0.056 -0.032 -0.017 66.600 13.200 2.081 
0.027 -0.020 -0.056 0.002 0.037 -0.032 -0.005 66.200 13.400 2.071 
0.034 -0.002 -0.046 -0.010 0.037 -0.020 -0.012 66.000 13.400 2.061 
0.061 0.010 -0.063 -0.029 0.056 -0.020 -0.027 65.800 13.600 2.051 
0.054 -0.007 -0.073 -0.017 0.059 -0.034 -0.017 65.400 13.600 2.042 
0.032 -0.012 -0.059 -0.002 0.039 -0.027 -0.010 65.200 13.800 2.032 
0.044 0.007 -0.051 -0.017 0.042 -0.015 -0.020 65.000 13.800 2.022 
0.061 0.007 -0.063 -0.029 0.059 -0.022 -0.024 64.800 14.000 2.012 
0.037 -0.015 -0.063 -0.005 0.044 -0.032 -0.010 64.600 14.000 2.002 
0.017 -0.012 -0.039 0.002 0.024 -0.020 -0.005 64.200 14.000 1.993 
0.037 0.012 -0.039 -0.017 0.032 -0.005 -0.020 64.000 14.200 1.983 
0.049 0.005 -0.059 -0.020 0.046 -0.020 -0.020 63.800 14.200 1.973 
0.022 -0.020 -0.051 0.005 0.032 -0.029 -0.002 63.600 14.200 1.963 
0.017 -0.010 -0.042 0.005 0.022 -0.017 -0.005 63.400 14.200 1.954 
0.044 0.005 -0.051 -0.017 0.042 -0.017 -0.020 63.200 14.400 1.944 
0.042 -0.010 -0.061 -0.010 0.046 -0.029 -0.012 63.000 14.400 1.934 
0.012 -0.022 -0.049 0.012 0.024 -0.027 -0.000 62.800 14.600 1.924 
0.015 -0.007 -0.037 0.005 0.020 -0.015 -0.005 62.600 14.600 1.915 
0.051 0.005 -0.051 -0.024 0.049 -0.020 -0.022 62.400 14.800 1.905 
0.039 -0.012 -0.061 -0.007 0.046 -0.032 -0.012 62.200 14.800 1.895 
0.017 -0.017 -0.042 0.005 0.027 -0.024 -0.002 62.000 15.000 1.885 
0.032 0.002 -0.034 -0.015 0.032 -0.012 -0.015 61.800 15.200 1.875 
0.056 0.007 -0.056 -0.027 0.054 -0.020 -0.024 61.600 15.200 1.866 
0.034 -0.010 -0.056 -0.005 0.039 -0.027 -0.010 61.400 15.400 1.856 
0.017 -0.012 -0.039 0.002 0.024 -0.020 -0.005 61.200 15.600 1.846 
0.044 0.012 -0.037 -0.024 0.039 -0.010 -0.022 61.000 15.600 1.836 
0.056 0.005 -0.056 -0.027 0.054 -0.022 -0.022 60.800 15.800 1.827 
0.027 -0.015 -0.051 -0.000 0.034 -0.027 -0.007 60.600 15.800 1.817 
